"Country","Year","Age","mxm","mxf","dxm","dxf"
"Malawi",2000,61,0.0308472857070674,0.0231448438473365,0.0110897835337477,0.00931697957892118
"Malawi",2000,62,0.0327589344660204,0.0251059009876032,0.0114085224201134,0.0098656069935125
"Malawi",2000,63,0.034996234045994,0.0273669690716556,0.0117818887342489,0.010475774619332
"Malawi",2000,64,0.0376349738050515,0.0299668889760046,0.0122186218344477,0.0111470115336578
"Malawi",2000,65,0.04077,0.03295,0.0127279086825556,0.0118773358982048
"Malawi",2000,66,0.0445060225170012,0.0363663080462176,0.0133147234534199,0.012662583707095
"Malawi",2000,67,0.048907637048589,0.0402708002424274,0.0139644600962546,0.0134954085601624
"Malawi",2000,68,0.0540275674406802,0.0447241683666101,0.0146532663528883,0.0143647933993214
"Malawi",2000,69,0.0599150594885267,0.049793077603464,0.0153512023225996,0.0152554172458337
"Malawi",2000,70,0.06661,0.05555,0.0160216799640748,0.0161469995144146
"Malawi",2000,71,0.07413980743796,0.0620674985862966,0.0166226979624572,0.0170124129071892
"Malawi",2000,72,0.0825271081841026,0.0693965843706055,0.0171112123326779,0.0178129022967503
"Malawi",2000,73,0.0917749674624397,0.0775706054449154,0.0174430595613456,0.0185025271308574
"Malawi",2000,74,0.101855286310145,0.0866030247562967,0.0175755439831358,0.0190316961352513
"Malawi",2000,75,0.1127,0.09648,0.0174719189107375,0.0193506736448851
"Malawi",2000,76,0.124223823540924,0.107171860720469,0.0171104821097484,0.0194176670857646
"Malawi",2000,77,0.136435535132115,0.118700264183858,0.0164997010492908,0.0192136390765602
"Malawi",2000,78,0.149383651915538,0.131104488853869,0.0156632589661725,0.0187339240448283
"Malawi",2000,79,0.163133423726144,0.144426179356321,0.0146337318765169,0.0179858528709442
"Malawi",2000,80,0.17777,0.15871,0.0134504314640451,0.0169892160318846
"Malawi",2000,81,0.193382083801401,0.173998673204336,0.0121557813523955,0.0157753100482828
"Malawi",2000,82,0.209992548955264,0.190312407791602,0.0107906109019436,0.0143844776653983
"Malawi",2000,83,0.227595843631843,0.207658534227634,0.00939777220842005,0.0128661462810773
"Malawi",2000,84,0.246173027053974,0.226035143892157,0.00802085389244922,0.0112762164777491
"Malawi",2000,85,0.26569,0.24543,0.00670103066508301,0.00967298634735216
"Malawi",2000,86,0.286103755530511,0.265821808404409,0.00547420108340047,0.00811275727457301
"Malawi",2000,87,0.30738941548857,0.287187691696977,0.00436867490465082,0.00664562165185984
"Malawi",2000,88,0.329523773143502,0.309498151782534,0.00340280824170032,0.00531153448517406
"Malawi",2000,89,0.352478456441738,0.332714775128044,0.0025846274158172,0.00413797671699811
"Malawi",2000,90,0.37622,0.35679,0.00191272133970483,0.00313919030005333
"Malawi",2000,91,0.400706968867438,0.381666092174354,0.0013779223813934,0.00231686508048694
